,ROI1 number,region1,ROI2 number,region2
1858,34,Right Angular Gyrus,6,Left Accumbens
1859,21,Right Temporal Pole,59,Right Planum Temporale
1860,19,Right Inferior Frontal Gyrus; pars opercularis,60,Right Supracalcarine Cortex
1861,5,Left Amygdala,9,Right Putamen
1862,15,Right Insular Cortex,38,Right Frontal Medial Cortex
1863,32,Right Supramarginal Gyrus; anterior division,61,Right Occipital Pole
1864,4,Left Hippocampus,65,Left Middle Frontal Gyrus
1865,36,Right Lateral Occipital Cortex; inferior division,42,Right Cingulate Gyrus; anterior division
1866,32,Right Supramarginal Gyrus; anterior division,15,Right Insular Cortex
1867,4,Left Hippocampus,26,Right Middle Temporal Gyrus; temporooccipital part
1868,2,Left Putamen,18,Right Inferior Frontal Gyrus; pars triangularis
1869,101,Left Occipital Fusiform Gyrus,63,Left Insular Cortex
1870,53,Right Occipital Fusiform Gyrus,10,Right Pallidum
1871,59,Right Planum Temporale,84,Left Lateral Occipital Cortex; inferior division
1872,6,Left Accumbens,34,Right Angular Gyrus
1873,59,Right Planum Temporale,77,Left Inferior Temporal Gyrus; temporooccipital part
1874,36,Right Lateral Occipital Cortex; inferior division,69,Left Temporal Pole
1875,95,Left Parahippocampal Gyrus; anterior division,33,Right Supramarginal Gyrus; posterior division
1876,66,Left Inferior Frontal Gyrus; pars triangularis,45,Right Cuneal Cortex
1877,38,Right Frontal Medial Cortex,22,Right Superior Temporal Gyrus; anterior division
1878,59,Right Planum Temporale,74,Left Middle Temporal Gyrus; temporooccipital part
1879,29,Right Inferior Temporal Gyrus; temporooccipital part,97,Left Lingual Gyrus
1880,2,Left Putamen,23,Right Superior Temporal Gyrus; posterior division
1881,16,Right Superior Frontal Gyrus,18,Right Inferior Frontal Gyrus; pars triangularis
1882,59,Right Planum Temporale,72,Left Middle Temporal Gyrus; anterior division
1883,67,Left Inferior Frontal Gyrus; pars opercularis,90,Left Cingulate Gyrus; anterior division
1884,50,Right Temporal Fusiform Cortex; anterior division,100,Left Temporal Occipital Fusiform Cortex
1885,67,Left Inferior Frontal Gyrus; pars opercularis,92,Left Precuneous Cortex
1886,3,Left Pallidum,101,Left Occipital Fusiform Gyrus
1887,106,Left Heschl's Gyrus (includes H1 and H2),70,Left Superior Temporal Gyrus; anterior division
1888,29,Right Inferior Temporal Gyrus; temporooccipital part,38,Right Frontal Medial Cortex
1889,6,Left Accumbens,32,Right Supramarginal Gyrus; anterior division
1890,66,Left Inferior Frontal Gyrus; pars triangularis,17,Right Middle Frontal Gyrus
1891,38,Right Frontal Medial Cortex,30,Right Postcentral Gyrus
1892,89,Left Paracingulate Gyrus,93,Left Cuneal Cortex
1893,64,Left Superior Frontal Gyrus,52,Right Temporal Occipital Fusiform Cortex
1894,78,Left Postcentral Gyrus,52,Right Temporal Occipital Fusiform Cortex
1895,64,Left Superior Frontal Gyrus,94,Left Frontal Orbital Cortex
1896,64,Left Superior Frontal Gyrus,95,Left Parahippocampal Gyrus; anterior division
1897,36,Right Lateral Occipital Cortex; inferior division,3,Left Pallidum
1898,64,Left Superior Frontal Gyrus,108,Left Supracalcarine Cortex
1899,49,Right Lingual Gyrus,5,Left Amygdala
1900,50,Right Temporal Fusiform Cortex; anterior division,22,Right Superior Temporal Gyrus; anterior division
1901,60,Right Supracalcarine Cortex,23,Right Superior Temporal Gyrus; posterior division
1902,77,Left Inferior Temporal Gyrus; temporooccipital part,105,Left Planum Polare
1903,43,Right Cingulate Gyrus; posterior division,88,Left Subcallosal Cortex
1904,105,Left Planum Polare,70,Left Superior Temporal Gyrus; anterior division
1905,77,Left Inferior Temporal Gyrus; temporooccipital part,98,Left Temporal Fusiform Cortex; anterior division
1906,57,Right Planum Polare,60,Right Supracalcarine Cortex
1907,55,Right Central Opercular Cortex,51,Right Temporal Fusiform Cortex; posterior division
1908,4,Left Hippocampus,13,Right Accumbens
1909,3,Left Pallidum,98,Left Temporal Fusiform Cortex; anterior division
1910,96,Left Parahippocampal Gyrus; posterior division,5,Left Amygdala
1911,4,Left Hippocampus,97,Left Lingual Gyrus
1912,86,Left Frontal Medial Cortex,82,Left Angular Gyrus
1913,96,Left Parahippocampal Gyrus; posterior division,16,Right Superior Frontal Gyrus
1914,77,Left Inferior Temporal Gyrus; temporooccipital part,19,Right Inferior Frontal Gyrus; pars opercularis
1915,78,Left Postcentral Gyrus,65,Left Middle Frontal Gyrus
1916,74,Left Middle Temporal Gyrus; temporooccipital part,2,Left Putamen
1917,3,Left Pallidum,85,Left Intracalcarine Cortex
1918,51,Right Temporal Fusiform Cortex; posterior division,19,Right Inferior Frontal Gyrus; pars opercularis
1919,85,Left Intracalcarine Cortex,38,Right Frontal Medial Cortex
1920,79,Left Superior Parietal Lobule,66,Left Inferior Frontal Gyrus; pars triangularis
1921,96,Left Parahippocampal Gyrus; posterior division,6,Left Accumbens
1922,74,Left Middle Temporal Gyrus; temporooccipital part,52,Right Temporal Occipital Fusiform Cortex
1923,37,Right Intracalcarine Cortex,102,Left Frontal Operculum Cortex
1924,3,Left Pallidum,59,Right Planum Temporale
1925,18,Right Inferior Frontal Gyrus; pars triangularis,18,Right Inferior Frontal Gyrus; pars triangularis
1926,96,Left Parahippocampal Gyrus; posterior division,70,Left Superior Temporal Gyrus; anterior division
1927,21,Right Temporal Pole,69,Left Temporal Pole
1928,57,Right Planum Polare,59,Right Planum Temporale
1929,97,Left Lingual Gyrus,19,Right Inferior Frontal Gyrus; pars opercularis
1930,76,Left Inferior Temporal Gyrus; posterior division,60,Right Supracalcarine Cortex
1931,21,Right Temporal Pole,44,Right Precuneous Cortex
1932,105,Left Planum Polare,63,Left Insular Cortex
1933,38,Right Frontal Medial Cortex,33,Right Supramarginal Gyrus; posterior division
1934,104,Left Parietal Operculum Cortex,30,Right Postcentral Gyrus
1935,53,Right Occipital Fusiform Gyrus,92,Left Precuneous Cortex
1936,66,Left Inferior Frontal Gyrus; pars triangularis,100,Left Temporal Occipital Fusiform Cortex
1937,13,Right Accumbens,102,Left Frontal Operculum Cortex
1938,46,Right Frontal Orbital Cortex,35,Right Lateral Occipital Cortex; superior division
1939,6,Left Accumbens,61,Right Occipital Pole
1940,99,Left Temporal Fusiform Cortex; posterior division,20,Right Precentral Gyrus
1941,55,Right Central Opercular Cortex,10,Right Pallidum
1942,0,Left Thalamus,58,Right Heschl's Gyrus (includes H1 and H2)
1943,68,Left Precentral Gyrus,17,Right Middle Frontal Gyrus
1944,52,Right Temporal Occipital Fusiform Cortex,31,Right Superior Parietal Lobule
1945,59,Right Planum Temporale,52,Right Temporal Occipital Fusiform Cortex
1946,109,Left Occipital Pole,31,Right Superior Parietal Lobule
1947,63,Left Insular Cortex,90,Left Cingulate Gyrus; anterior division
1948,99,Left Temporal Fusiform Cortex; posterior division,9,Right Putamen
1949,32,Right Supramarginal Gyrus; anterior division,54,Right Frontal Operculum Cortex
